year,tract,pop,lpa,mhlth,obese
1,42101000100,3478,10.9,12.2,20.5
2,42101000100,3478,13.8,12,20.9
3,42101000100,3478,11.9,14.1,19.4
4,42101000100,3478,12.1,14.5,20.3
5,42101000101,2329,9.1,13.1,21
5,42101000102,3511,9.9,13.4,22.1
1,42101000200,2937,26,14.8,21.2
2,42101000200,2937,28,13.8,19.7
3,42101000200,2937,27.1,13.9,18.3
4,42101000200,2937,27.3,15.3,18.8
5,42101000200,3367,20.7,13.9,18.9
1,42101000300,3169,13.4,12.1,21
2,42101000300,3169,16.4,12,21.4
3,42101000300,3169,14.9,13.8,19.9
4,42101000300,3169,15.3,14.4,20.7
5,42101000300,4501,12.2,14.2,21.4
1,42101000401,2125,16.2,12,21.5
2,42101000401,2125,19.5,11.7,21.9
3,42101000401,2125,18.4,13.1,20.3
4,42101000401,2125,18.9,13.9,20.9
5,42101000401,3123,15.4,13.7,22.5
1,42101000402,3142,15.3,9.6,19.3
2,42101000402,3142,18.7,9.7,20.4
3,42101000402,3142,17.9,11.2,18.5
4,42101000402,3142,18.3,11.5,19.2
5,42101000403,1139,13.2,13.3,23.2
5,42101000404,3822,16.2,12.8,22.1
1,42101000500,2329,22.1,17.2,29.7
2,42101000500,2329,27.5,17,29.8
3,42101000500,2329,25.1,17.1,28.3
4,42101000500,2329,25.6,19,28.9
5,42101000500,3614,19,18.3,28
1,42101000600,1781,9.4,13.5,17
2,42101000600,1781,12,12.8,17
3,42101000600,1781,10.3,15.4,15.8
4,42101000600,1781,10.5,16.4,16.5
5,42101000600,2317,10.9,15.2,21.3
1,42101000700,3082,12.6,12.7,20
2,42101000700,3082,15.9,12.4,20.1
3,42101000700,3082,14.2,14.2,18.7
4,42101000700,3082,14.6,15.1,19.5
5,42101000701,2722,13.3,14.8,22.2
5,42101000702,2012,13,14.4,20.5
1,42101000801,1562,11,11.9,20.5
2,42101000801,1562,13.6,11.4,20.4
3,42101000801,1562,11.7,13.5,18.9
4,42101000801,1562,12.1,14.1,19.8
5,42101000801,1748,10,13.3,21.9
1,42101000803,3601,11.3,10.3,19
2,42101000803,3601,14.2,10.2,19.5
3,42101000803,3601,12.8,12.1,18
4,42101000803,3601,13.2,12.5,18.8
5,42101000803,4463,13,13.3,22.1
1,42101000804,3609,11.4,11.3,19
2,42101000804,3609,14.3,11.3,19.4
3,42101000804,3609,12.7,13.4,17.9
4,42101000804,3609,13,13.8,18.7
5,42101000805,2587,10.3,12.5,20.2
5,42101000806,2702,11.3,13,21.9
1,42101000901,2276,12.9,14.5,21.1
2,42101000901,2276,16.6,14.4,21.2
3,42101000901,2276,14.5,15.9,19.9
4,42101000901,2276,15,17.3,20.7
5,42101000901,2409,14.7,16.3,25.7
1,42101000902,2773,16.4,13,19.8
2,42101000902,2773,20.3,13.1,20
3,42101000902,2773,19.3,14.4,18.5
4,42101000902,2773,19.7,15.4,19.2
5,42101000902,2842,17.3,14.2,20.8
1,42101001001,2603,12.2,9.4,20.6
2,42101001001,2603,15.2,9.4,21.4
3,42101001001,2603,14,11.2,19.5
4,42101001001,2603,14.4,11.2,20.4
5,42101001001,2993,14.7,11.3,22.9
1,42101001002,3612,11.7,9.9,20.8
2,42101001002,3612,14.7,9.8,21.7
3,42101001002,3612,13.4,11.7,19.9
4,42101001002,3612,13.7,11.7,20.8
5,42101001002,4651,12.5,11.4,23.4
1,42101001101,3586,14.4,14.2,22.5
2,42101001101,3586,19.2,14.7,23.8
3,42101001101,3586,17.2,15.9,22.2
4,42101001101,3586,17.9,17.3,23
5,42101001101,4297,15.3,16.3,25.7
1,42101001102,2659,10.9,12.5,20.8
2,42101001102,2659,13.9,12.2,21.1
3,42101001102,2659,12,14.2,19.6
4,42101001102,2659,12.4,14.8,20.5
5,42101001102,2800,10.4,14.2,22.2
1,42101001201,3778,10.7,11,20.2
2,42101001201,3778,13.4,10.7,20.7
3,42101001201,3778,11.8,12.9,19.1
4,42101001201,3778,12.1,13.1,20
5,42101001201,3953,11.3,13.7,23
1,42101001202,5137,11.1,12.2,20.3
2,42101001202,5137,14.2,12.1,20.6
3,42101001202,5137,12.5,14.2,19.1
4,42101001202,5137,12.8,14.8,20
5,42101001203,1827,9.7,13.9,21.6
5,42101001204,4014,13,15.6,23.1
1,42101001300,4942,13.2,12,23.4
2,42101001300,4942,16.1,11.6,23.9
3,42101001300,4942,14.5,13.7,22.2
4,42101001300,4942,14.7,14,23
5,42101001301,1671,13,15.3,25.7
5,42101001302,5102,11.6,13.9,22.8
1,42101001400,3950,14.9,13.4,24.1
2,42101001400,3950,19.5,13.6,25.3
3,42101001400,3950,17.7,15.1,23.6
4,42101001400,3950,18.2,15.9,24.4
5,42101001400,4736,14,15.6,25.8
1,42101001500,2708,13.4,12.5,23.2
2,42101001500,2708,17.3,12.7,23.9
3,42101001500,2708,15.5,14.4,22.2
4,42101001500,2708,15.8,14.9,23.1
5,42101001500,3338,12.8,14,24.1
1,42101001600,2192,11.3,12,21.3
2,42101001600,2192,14.4,11.9,21.8
3,42101001600,2192,12.6,14.1,20.2
4,42101001600,2192,12.9,14.3,21.1
5,42101001600,2665,10.5,13.6,22.8
1,42101001700,2647,10.8,11.3,21.2
2,42101001700,2647,13.7,11.1,21.7
3,42101001700,2647,12,13.3,20
4,42101001700,2647,12.2,13.4,21
5,42101001700,2997,10.4,13,23.4
1,42101001800,2873,14.1,12.7,22.4
2,42101001800,2873,16.7,12.1,22.7
3,42101001800,2873,15,14.1,20.9
4,42101001800,2873,15.3,14.4,21.8
5,42101001800,3476,11.5,14.2,24
1,42101001900,2721,13.1,12.6,24.3
2,42101001900,2721,17.9,13.2,25.6
3,42101001900,2721,16,14.9,24
4,42101001900,2721,16.3,15.8,24.8
5,42101001900,4083,14.5,18.1,26
1,42101002000,2092,26.8,17,36
2,42101002000,2092,29.9,15.1,35.4
3,42101002000,2092,28.6,16,33.4
4,42101002000,2092,29.1,17.1,34
5,42101002000,2537,17.6,16.7,30.2
1,42101002100,2036,25.4,17.3,35.3
2,42101002100,2036,29.2,16,35.2
3,42101002100,2036,27.7,16.9,33.2
4,42101002100,2036,28.2,18,33.8
5,42101002100,2462,18.2,18.5,30.6
1,42101002200,2281,21.5,16.4,31
2,42101002200,2281,25.9,15.7,31.5
3,42101002200,2281,24.1,16.6,29.7
4,42101002200,2281,24.7,18,30.4
5,42101002200,2750,21,20,32.6
1,42101002300,2682,18.8,14.7,23.6
2,42101002300,2682,23.4,14.7,24.2
3,42101002300,2682,21.7,15.7,22.4
4,42101002300,2682,22.3,16.7,23.3
5,42101002300,3043,16.6,15.7,25.5
1,42101002400,5129,17.7,13.8,22.7
2,42101002400,5129,20.9,13.2,23.1
3,42101002400,5129,19.3,14.6,21.4
4,42101002400,5129,19.6,15.2,22.2
5,42101002400,5624,16.9,15.2,25.1
1,42101002500,3769,21.3,15.9,28.7
2,42101002500,3769,25.7,15.4,29
3,42101002500,3769,24,16.2,27.1
4,42101002500,3769,24.8,17.3,28
5,42101002500,4393,21.7,18.1,29.7
1,42101002701,3874,25.8,17.7,27.4
2,42101002701,3874,29.9,16.7,27.2
3,42101002701,3874,28.3,16.9,25.5
4,42101002701,3874,29,18.6,26.2
5,42101002701,4200,17.1,14.8,25.9
1,42101002702,3566,19.5,15.4,26.1
2,42101002702,3566,22.5,14.8,26.5
3,42101002702,3566,20.6,15.8,24.5
4,42101002702,3566,21.2,16.6,25.6
5,42101002702,4268,15.3,16,26.2
1,42101002801,4324,26,16.2,24.5
2,42101002801,4324,30.9,15.8,25
3,42101002801,4324,29.8,16.2,23.4
4,42101002801,4324,30.3,17.6,24.1
5,42101002801,4364,24.2,17.6,27.5
1,42101002802,5539,20.2,14.2,22.6
2,42101002802,5539,25.9,14.6,24.4
3,42101002802,5539,24.4,15.2,22.6
4,42101002802,5539,25.1,16.3,23.5
5,42101002802,5375,20.1,16.5,26.4
1,42101002900,4141,20.3,15.3,24.9
2,42101002900,4141,23.9,14.6,25.4
3,42101002900,4141,22.1,15.4,23.4
4,42101002900,4141,22.8,16.2,24.4
5,42101002900,4351,13.6,14.7,24.9
1,42101003001,4664,25.8,15,23.2
2,42101003001,4664,31.6,15.3,24.2
3,42101003001,4664,30.6,15.2,22.6
4,42101003001,4664,31.2,16.8,23.2
5,42101003001,4188,24.3,15.8,24.9
1,42101003002,3200,28.5,18.4,33.4
2,42101003002,3200,31.2,16.7,32.8
3,42101003002,3200,29.9,17.1,30.8
4,42101003002,3200,30.6,18.6,31.5
5,42101003002,3529,20.8,17.7,30.8
1,42101003100,4437,28,17,36.2
2,42101003100,4437,32.9,16.1,37
3,42101003100,4437,31.6,16.6,34.9
4,42101003100,4437,32.3,18,35.5
5,42101003100,5089,19.3,16.9,30.5
1,42101003200,4875,34,21.8,41.1
2,42101003200,4875,36.9,19.3,39.7
3,42101003200,4875,35.4,19.3,37.6
4,42101003200,4875,36.3,21.1,38.2
5,42101003200,4511,24.2,19.2,34.6
1,42101003300,6162,32.6,22.2,37.5
2,42101003300,6162,36.5,20.1,37
3,42101003300,6162,34.7,19.8,35
4,42101003300,6162,35.7,21.7,35.8
